,pm10,pm25,so2,co,o3,no2,categori
298,53.0,79.0,12.0,23.0,32.0,41.0,SEDANG
299,53.0,66.0,54.0,23.0,12.0,76.0,SEDANG
300,50.0,62.0,55.0,10.0,20.0,42.0,SEDANG
301,35.0,41.0,54.0,6.0,20.0,31.0,SEDANG
302,39.0,55.0,54.0,8.0,22.0,32.0,SEDANG
303,30.0,54.0,54.0,9.0,20.0,31.0,SEDANG
304,31.0,51.0,54.0,5.0,19.0,19.0,SEDANG
305,31.0,46.0,55.0,6.0,19.0,25.0,SEDANG
306,24.0,44.0,54.0,4.0,20.0,12.0,SEDANG
307,33.0,45.0,55.0,6.0,13.0,24.0,SEDANG
308,63.0,86.0,55.0,30.0,14.0,85.0,SEDANG
309,46.0,61.0,54.0,10.0,19.0,37.0,SEDANG
310,33.0,55.0,54.0,3.0,23.0,14.0,SEDANG
311,41.0,58.0,54.0,5.0,22.0,22.0,SEDANG
312,37.0,50.0,54.0,4.0,23.0,21.0,SEDANG
313,36.0,44.0,54.0,10.0,15.0,36.0,SEDANG
314,26.0,32.0,54.0,6.0,18.0,18.0,SEDANG
315,45.0,62.0,14.0,30.0,23.0,37.0,SEDANG
316,43.0,64.0,17.0,22.0,15.0,37.0,SEDANG
317,33.0,51.0,17.0,20.0,22.0,27.0,SEDANG
318,34.0,54.0,14.0,19.0,20.0,25.0,SEDANG
319,24.0,43.0,13.0,19.0,20.0,22.0,BAIK
320,25.0,38.0,15.0,17.0,17.0,21.0,BAIK
321,23.0,35.0,14.0,17.0,20.0,21.0,BAIK
322,19.0,34.0,13.0,15.0,22.0,15.0,BAIK
323,29.0,30.0,17.0,17.0,19.0,21.0,BAIK
324,53.0,72.0,17.0,27.0,20.0,35.0,SEDANG
325,35.0,47.0,12.0,17.0,14.0,21.0,BAIK
326,31.0,50.0,11.0,13.0,21.0,19.0,BAIK
327,42.0,60.0,14.0,15.0,19.0,25.0,SEDANG
328,36.0,52.0,12.0,17.0,17.0,29.0,SEDANG
329,32.0,44.0,15.0,16.0,22.0,22.0,BAIK
330,23.0,27.0,13.0,13.0,23.0,20.0,BAIK
331,24.0,37.0,14.0,12.0,21.0,16.0,BAIK
332,22.0,35.0,16.0,11.0,20.0,17.0,BAIK
333,29.0,47.0,14.0,13.0,18.0,18.0,BAIK
334,27.0,47.0,13.0,17.0,10.0,16.0,BAIK
335,28.0,51.0,18.0,16.0,11.0,18.0,SEDANG
336,24.0,28.0,10.0,17.0,17.0,26.0,BAIK
337,63.0,100.0,15.0,31.0,30.0,47.0,SEDANG
338,52.0,71.0,13.0,15.0,38.0,30.0,SEDANG
339,44.0,64.0,13.0,16.0,25.0,39.0,SEDANG
340,52.0,73.0,13.0,21.0,25.0,37.0,SEDANG
341,57.0,77.0,13.0,22.0,17.0,43.0,SEDANG
342,62.0,92.0,19.0,22.0,33.0,45.0,SEDANG
343,62.0,90.0,16.0,19.0,35.0,50.0,SEDANG
344,45.0,16.0,51.0,14.0,15.0,48.0,SEDANG
345,49.0,12.0,27.0,34.0,17.0,13.0,BAIK
346,55.0,69.0,25.0,28.0,8.0,6.0,SEDANG
347,59.0,72.0,26.0,21.0,8.0,7.0,SEDANG
348,46.0,58.0,26.0,21.0,6.0,7.0,SEDANG
349,49.0,61.0,26.0,25.0,8.0,5.0,SEDANG
350,39.0,56.0,26.0,22.0,6.0,4.0,SEDANG
351,27.0,34.0,55.0,6.0,15.0,17.0,SEDANG
352,26.0,33.0,55.0,5.0,16.0,17.0,SEDANG
353,32.0,46.0,55.0,5.0,17.0,21.0,SEDANG
354,26.0,52.0,54.0,6.0,15.0,19.0,SEDANG
355,31.0,55.0,55.0,5.0,17.0,19.0,SEDANG
356,26.0,34.0,54.0,4.0,19.0,26.0,SEDANG
357,70.0,111.0,55.0,22.0,28.0,82.0,TIDAK SEHAT
358,55.0,69.0,55.0,5.0,32.0,19.0,SEDANG
359,53.0,66.0,56.0,5.0,33.0,16.0,SEDANG
360,63.0,83.0,58.0,8.0,25.0,42.0,SEDANG
361,57.0,68.0,56.0,4.0,24.0,19.0,SEDANG
362,65.0,90.0,55.0,8.0,40.0,30.0,SEDANG
363,69.0,91.0,56.0,11.0,39.0,31.0,SEDANG
364,65.0,83.0,59.0,11.0,31.0,33.0,SEDANG
365,60.0,82.0,55.0,11.0,33.0,34.0,SEDANG
366,46.0,66.0,50.0,14.0,15.0,28.0,SEDANG
367,48.0,64.0,50.0,11.0,9.0,20.0,SEDANG
368,48.0,57.0,50.0,12.0,5.0,20.0,SEDANG
369,43.0,56.0,50.0,14.0,13.0,61.0,SEDANG
370,44.0,56.0,50.0,9.0,13.0,62.0,SEDANG
371,48.0,61.0,50.0,8.0,9.0,58.0,SEDANG
372,38.0,52.0,50.0,6.0,10.0,52.0,SEDANG
373,23.0,28.0,49.0,3.0,13.0,34.0,BAIK
374,29.0,25.0,50.0,4.0,12.0,40.0,BAIK
375,54.0,73.0,51.0,21.0,11.0,91.0,SEDANG
376,51.0,63.0,51.0,20.0,14.453730882355142,79.0,SEDANG
377,41.0,55.0,52.0,7.0,15.0,38.0,SEDANG
378,54.0,68.0,51.0,9.0,16.0,44.0,SEDANG
379,48.93056517292165,65.0,51.0,11.0,12.0,43.0,SEDANG
380,23.0,40.0,51.0,8.0,10.0,62.0,SEDANG
381,16.0,26.0,51.0,4.0,12.0,53.0,SEDANG
382,18.0,21.0,51.0,5.0,10.0,58.0,SEDANG
383,22.0,40.0,51.0,5.0,11.0,51.0,SEDANG
384,43.0,63.0,51.0,9.0,10.0,75.0,SEDANG
385,41.0,62.0,51.0,7.0,10.0,49.0,SEDANG
386,50.0,68.0,51.0,8.0,13.0,62.0,SEDANG
387,38.0,53.0,51.0,9.0,14.0,40.0,SEDANG
388,59.0,99.0,51.0,27.0,21.0,106.0,TIDAK SEHAT
389,54.0,73.0,51.0,10.0,25.0,31.0,SEDANG
390,44.0,61.0,51.0,8.0,23.0,29.0,SEDANG
391,44.0,68.0,51.0,13.0,19.0,54.0,SEDANG
392,57.0,84.0,52.0,15.0,18.0,37.0,SEDANG
393,63.0,90.0,51.0,23.0,18.0,72.0,SEDANG
394,56.0,16.0,51.0,13.0,20.0,29.0,SEDANG
395,37.0,55.0,26.0,18.0,5.0,3.0,SEDANG
396,31.0,47.0,26.0,18.0,6.0,2.0,BAIK
397,26.0,39.0,26.0,15.0,6.0,2.0,BAIK
398,30.0,30.0,26.0,16.0,6.0,3.0,BAIK
399,72.0,96.0,26.0,39.0,5.0,8.0,SEDANG
400,70.0,78.0,26.0,27.0,8.0,4.0,SEDANG
401,37.0,53.0,26.0,17.0,6.0,2.0,SEDANG
402,49.0,64.0,26.0,19.0,7.0,4.0,SEDANG
403,52.0,65.0,26.0,21.0,6.0,4.0,SEDANG
404,38.0,45.0,26.0,21.0,6.0,4.0,BAIK
405,24.0,31.0,26.0,17.0,5.0,3.0,BAIK
406,23.0,31.0,26.0,16.0,5.0,4.0,BAIK
407,30.0,51.0,26.0,17.0,4.0,3.0,SEDANG
408,53.0,67.0,27.0,20.0,4.0,3.0,SEDANG
409,43.0,59.0,27.0,19.0,3.0,4.0,SEDANG
410,48.0,67.0,27.0,21.0,4.0,4.0,SEDANG
411,70.0,122.0,27.0,40.0,8.0,11.0,TIDAK SEHAT
412,57.0,78.0,27.0,18.0,11.0,7.0,SEDANG
413,50.0,69.0,27.0,17.0,12.0,4.0,SEDANG
414,64.8035046927592,93.0,27.0,23.0,9.0,7.0,SEDANG
415,64.0,92.0,27.0,25.0,8.0,9.0,SEDANG
416,90.0,128.0,27.0,27.0,12.0,10.0,TIDAK SEHAT
417,74.0,96.0,27.0,23.0,10.0,11.0,SEDANG
418,62.0,86.0,27.0,23.0,13.0,9.0,SEDANG
419,61.0,82.0,27.0,27.0,13.0,9.0,SEDANG
420,52.0,82.0,21.0,29.0,50.0,13.0,SEDANG
421,41.0,69.0,23.0,21.0,54.0,21.0,SEDANG
422,35.0,54.0,22.0,19.0,51.0,14.0,SEDANG
423,33.0,60.0,22.0,18.0,42.0,10.0,SEDANG
424,18.0,38.0,21.0,14.0,46.0,6.0,BAIK
425,18.0,34.0,23.0,13.0,49.0,6.0,BAIK
426,22.0,28.0,22.0,13.0,48.0,6.0,BAIK
427,17.0,28.0,22.0,12.0,46.0,4.0,BAIK
428,27.0,41.0,25.0,14.0,45.0,10.0,BAIK
429,56.0,92.0,25.0,36.0,48.0,18.0,SEDANG
