pm10,pm25,so2,co,o3,no2,categori
65,98,19,17,28,40,SEDANG
64,86,17,17,21,39,SEDANG
67,97,18,20,18,48,SEDANG
63,92,15,17,25,36,SEDANG
65,91,17,15,26,32,SEDANG
62,97,25,14,23,45,SEDANG
65,92,20,12,24,37,SEDANG
59,78,20,11,22,32,SEDANG
60,74,16,13,19,30,SEDANG
39,53,12,15,16,30,SEDANG
61,82,26,21,19,38,SEDANG
64,92,22,15,25,39,SEDANG
67,100,18,14,29,42,SEDANG
64,86,19,10,32,36,SEDANG
59,85,19,8,29,38,SEDANG
70,101,17,10,27,44,TIDAK SEHAT
51,66,55,6,24,13,SEDANG
60,79,55,7,24,11,SEDANG
59,83,55,8,32,14,SEDANG
65,89,55,12,22,24,SEDANG
64,94,56,18,20,43,SEDANG
69,90,55,10,25,19,SEDANG
72,97,55,12,21,27,SEDANG
58,70,56,9,19,32,SEDANG
49,62,56,9,16,39,SEDANG
47,57,55,7,12,40,SEDANG
28,39,56,4,16,15,SEDANG
23,30,54,5,18,22,SEDANG
59,71,55,14,11,68,SEDANG
51,62,57,9,11,54,SEDANG
32,35,54,9,13,36,SEDANG
52,71,48,16,16,21,SEDANG
39,53,47,12,10,33,SEDANG
33,45,48,9,9,33,BAIK
31,49,48,5,7,17,BAIK
52,74,49,14,12,40,SEDANG
61,74,50,16,9,37,SEDANG
35,52,48,9,9,28,SEDANG
56,75,50,22,8,80,SEDANG
49,67,54,9,16,17,SEDANG
52,63,51,7,21,8,SEDANG
50,68,50,19,14,52,SEDANG
50,64,50,12,15,19,SEDANG
57,72,52,14,18,187,TIDAK SEHAT
43,55,51,10,20,202,TIDAK SEHAT
41,63,51,13,16,,SEDANG
64,87,53,19,12,22,SEDANG
53,70,52,16,10,12,SEDANG
47,63,50,14,15,8,SEDANG
50,67,49,17,19,12,SEDANG
65,93,50,15,21,13,SEDANG
58,79,49,14,20,17,SEDANG
59,71,48,12,8,17,SEDANG
44,59,49,7,15,14,SEDANG
44,62,49,6,13,29,SEDANG
37,50,50,7,9,16,BAIK
41,56,49,10,12,29,SEDANG
64,88,50,20,14,19,SEDANG
47,62,50,10,11,21,SEDANG
54,13,50,12,12,41,SEDANG
68,90,25,15,18,14,SEDANG
50,59,24,10,12,9,SEDANG
,56,25,7,11,10,SEDANG
52,72,49,17,18,37,SEDANG
50,62,49,12,19,26,SEDANG
33,51,48,10,20,22,SEDANG
24,38,46,9,16,14,BAIK
38,67,47,13,18,28,SEDANG
47,61,47,9,18,32,SEDANG
32,49,49,8,15,22,BAIK
42,60,47,6,15,20,SEDANG
51,72,51,6,21,31,SEDANG
46,57,51,7,28,20,SEDANG
39,57,50,9,23,23,SEDANG
33,54,50,7,25,23,SEDANG
39,52,51,7,26,28,SEDANG
25,38,52,8,26,24,SEDANG
35,55,,18,22,29,SEDANG
57,73,20,28,20,40,SEDANG
36,50,16,21,23,23,BAIK
38,55,15,20,24,26,SEDANG
46,66,16,24,14,39,SEDANG
42,61,16,21,21,31,SEDANG
52,73,20,32,24,37,SEDANG
56,73,19,22,23,35,SEDANG
38,56,16,20,23,29,SEDANG
38,57,20,20,12,19,SEDANG
26,37,20,16,22,19,BAIK
25,42,13,17,18,24,BAIK
44,63,14,25,16,32,SEDANG
43,59,14,21,13,31,SEDANG
33,44,13,22,14,29,BAIK
55,,54,15,25,49,SEDANG
48,62,55,15,16,57,SEDANG
36,53,55,9,13,43,SEDANG
27,43,54,7,12,21,SEDANG
53,71,56,13,17,40,SEDANG
44,55,54,10,13,37,SEDANG
37,53,56,11,10,48,SEDANG
59,73,56,13,14,56,SEDANG
58,79,58,9,24,28,SEDANG
47,57,55,5,21,20,SEDANG
33,53,54,7,17,20,SEDANG
34,52,55,7,18,22,SEDANG
42,54,54,6,18,29,SEDANG
24,40,54,6,20,31,SEDANG
43,60,55,10,14,46,SEDANG
67,83,56,21,12,80,SEDANG
29,32,54,5,16,28,SEDANG
44,64,54,8,17,35,SEDANG
52,70,55,9,16,37,SEDANG
55,81,56,13,24,36,SEDANG
32,45,25,4,7,4,BAIK
54,77,25,10,6,5,SEDANG
64,74,25,15,6,7,SEDANG
